Taxon ID,Genome ID,Genome Name,Antibiotic,Resistant Phenotype,Measurement,Measurement Sign,Measurement Value,Measurement Unit,Laboratory Typing Method,Laboratory Typing Method Version,Laboratory Typing Platform,Vendor,Testing Standard,Testing Standard Year,Computational Method,Computational Method Version,Computational Method Performance,Evidence,Source,PubMed
287,287.14718,Pseudomonas aeruginosa strain DMC-20C,meropenem,,8,,8,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.41, CI[0.37, 0.46]",Computational Method,,
287,287.9072,Pseudomonas aeruginosa strain DMC-27b,ceftazidime/avibactam,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.81, CI[0.73, 0.88]",Computational Method,,
287,287.13267,Pseudomonas aeruginosa strain SRS1,cefepime,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.65, CI[0.57, 0.72]",Computational Method,,
287,287.9072,Pseudomonas aeruginosa strain DMC-27b,colistin,,1,,1,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.91, CI[0.86, 0.97]",Computational Method,,
287,287.31156,Pseudomonas aeruginosa BDMZA1,colistin,,1,,1,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.91, CI[0.86, 0.97]",Computational Method,,
287,287.25246,Pseudomonas aeruginosa DMC30b,cefepime,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.65, CI[0.57, 0.72]",Computational Method,,
287,287.9072,Pseudomonas aeruginosa strain DMC-27b,tobramycin,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.92, CI[0.89, 0.96]",Computational Method,,
287,287.31156,Pseudomonas aeruginosa BDMZA1,ceftazidime,,32,,32,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.50, CI[0.39, 0.62]",Computational Method,,
287,287.13267,Pseudomonas aeruginosa strain SRS1,amikacin,,32,,32,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.70, CI[0.62, 0.77]",Computational Method,,
287,287.13267,Pseudomonas aeruginosa strain SRS1,aztreonam,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.63, CI[0.52, 0.73]",Computational Method,,
287,287.25246,Pseudomonas aeruginosa DMC30b,gentamicin,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.91, CI[0.86, 0.96]",Computational Method,,
287,287.9072,Pseudomonas aeruginosa strain DMC-27b,imipenem,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.81, CI[0.77, 0.85]",Computational Method,,
287,287.9072,Pseudomonas aeruginosa strain DMC-27b,amikacin,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.78, CI[0.71, 0.84]",Computational Method,,
287,287.31156,Pseudomonas aeruginosa BDMZA1,tobramycin,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.92, CI[0.89, 0.96]",Computational Method,,
287,287.13267,Pseudomonas aeruginosa strain SRS1,amikacin,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.78, CI[0.71, 0.84]",Computational Method,,
287,287.31156,Pseudomonas aeruginosa BDMZA1,gentamicin,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.91, CI[0.86, 0.96]",Computational Method,,
