Taxon ID,Genome ID,Genome Name,Antibiotic,Resistant Phenotype,Measurement,Measurement Sign,Measurement Value,Measurement Unit,Laboratory Typing Method,Laboratory Typing Method Version,Laboratory Typing Platform,Vendor,Testing Standard,Testing Standard Year,Computational Method,Computational Method Version,Computational Method Performance,Evidence,Source,PubMed
287,"287.14474","Pseudomonas aeruginosa strain SP3144","ceftazidime",,"4.0",,"4.0","mg/L",,,,,,,"MIC XGBoost Model","202503101","W1 score: 0.50, CI[0.39, 0.62]","Computational Method",,
287,"287.4275","Pseudomonas aeruginosa strain BK4","tobramycin",,"2.0",,"2.0","mg/L",,,,,,,"MIC XGBoost Model","202503101","W1 score: 0.72, CI[0.66, 0.77]","Computational Method",,
287,"287.14432","Pseudomonas aeruginosa strain SP3356","ciprofloxacin","Resistant",,,,,,,,,,,"SIR XGBoost Model","202503101","F1 score: 0.91, CI[0.88, 0.95]","Computational Method",,
287,"287.32663","Pseudomonas aeruginosa MGL_115","levofloxacin","Resistant",,,,,,,,,,,"SIR XGBoost Model","202503101","F1 score: 0.91, CI[0.88, 0.94]","Computational Method",,
287,"287.37316","Pseudomonas aeruginosa AI_3907","colistin",,"2.0",,"2.0","mg/L",,,,,,,"MIC XGBoost Model","202503101","W1 score: 0.91, CI[0.86, 0.97]","Computational Method",,
287,"287.34236","Pseudomonas aeruginosa MGL_147_B9","tobramycin",,"2.0",,"2.0","mg/L",,,,,,,"MIC XGBoost Model","202503101","W1 score: 0.72, CI[0.66, 0.77]","Computational Method",,
287,"287.32660","Pseudomonas aeruginosa MGL_119","penicillin","Resistant",,,,,"Disk diffusion",,,,,,,,,"Laboratory Method",,"37549252"
287,"287.8035","Pseudomonas aeruginosa strain SP4527","piperacillin/tazobactam","Resistant",,,,,,,,,,,"SIR XGBoost Model","202503101","F1 score: 0.82, CI[0.68, 0.97]","Computational Method",,
287,"287.32670","Pseudomonas aeruginosa 20200317_MGL_50","levofloxacin","Resistant",,,,,,,,"PATRIC",,,"AdaBoost Classifier",,"Accuracy:0.845, F1 score:0.852, AUC:0.898","Computational Method",,
287,"287.27656","Pseudomonas aeruginosa AI2693","ciprofloxacin",,"4.0",,"4.0","mg/L",,,,,,,"MIC XGBoost Model","202503101","W1 score: 0.68, CI[0.53, 0.84]","Computational Method",,
287,"287.14430","Pseudomonas aeruginosa strain SP3436","ceftazidime/avibactam","Susceptible",,,,,,,,,,,"SIR XGBoost Model","202503101","F1 score: 0.81, CI[0.73, 0.88]","Computational Method",,
287,"287.37340","Pseudomonas aeruginosa AI_1538","ceftazidime/avibactam","Susceptible",,,,,,,,,,,"SIR XGBoost Model","202503101","F1 score: 0.81, CI[0.73, 0.88]","Computational Method",,
287,"287.28439","Pseudomonas aeruginosa JJPA01","tobramycin",,"8.0",,"8.0","mg/L",,,,,,,"MIC XGBoost Model","202503101","W1 score: 0.72, CI[0.66, 0.77]","Computational Method",,
287,"287.37342","Pseudomonas aeruginosa AI_1478","levofloxacin","Resistant",,,,,,,,"PATRIC",,,"AdaBoost Classifier",,"Accuracy:0.845, F1 score:0.852, AUC:0.898","Computational Method",,
287,"287.37304","Pseudomonas aeruginosa AI_3297","ciprofloxacin",,"4.0",,"4.0","mg/L",,,,,,,"MIC XGBoost Model","202503101","W1 score: 0.68, CI[0.53, 0.84]","Computational Method",,
287,"287.1036","Pseudomonas aeruginosa AZPAE14897","meropenem","Susceptible","0.5",,"0.5","mg/L","Broth dilution",,"Sensititre","Thermo Fisher Scientific","CLSI",2013,,,,"Laboratory Method",,"25367914"
287,"287.27710","Pseudomonas aeruginosa SMC4386","ceftolozane/tazobactam","Susceptible",,,,,,,,,,,"SIR XGBoost Model","202503101","F1 score: 0.84, CI[0.72, 0.96]","Computational Method",,
287,"287.1033","Pseudomonas aeruginosa AZPAE14900","piperacillin/tazobactam","Resistant",,,,,,,,,,,"SIR XGBoost Model","202503101","F1 score: 0.82, CI[0.68, 0.97]","Computational Method",,
287,"287.32667","Pseudomonas aeruginosa 20200317_MGL_53","levofloxacin","Resistant",,,,,,,,"PATRIC",,,"AdaBoost Classifier",,"Accuracy:0.845, F1 score:0.852, AUC:0.898","Computational Method",,
287,"287.34240","Pseudomonas aeruginosa MGL_142_B9","levofloxacin","Resistant",,,,,,,,"PATRIC",,,"AdaBoost Classifier",,"Accuracy:0.845, F1 score:0.852, AUC:0.898","Computational Method",,
