Taxon ID,Genome ID,Genome Name,Antibiotic,Resistant Phenotype,Measurement,Measurement Sign,Measurement Value,Measurement Unit,Laboratory Typing Method,Laboratory Typing Method Version,Laboratory Typing Platform,Vendor,Testing Standard,Testing Standard Year,Computational Method,Computational Method Version,Computational Method Performance,Evidence,Source,PubMed
287,"287.18700","Pseudomonas aeruginosa PA_141","meropenem",,"2.0",,"2.0","mg/L",,,,,,,"MIC XGBoost Model","202503101","W1 score: 0.41, CI[0.37, 0.46]","Computational Method",,
287,"287.19147","Pseudomonas aeruginosa PA_9","tobramycin",,"4.0",,"4.0","mg/L",,,,,,,"MIC XGBoost Model","202503101","W1 score: 0.72, CI[0.66, 0.77]","Computational Method",,
287,"287.18704","Pseudomonas aeruginosa PA_65","levofloxacin","Susceptible",,,,,,,,"PATRIC",,,"AdaBoost Classifier",,"Accuracy:0.845, F1 score:0.852, AUC:0.898","Computational Method",,
287,"287.16608","Pseudomonas aeruginosa strain MB663","amikacin","Susceptible",,,,,,,,,,,"SIR XGBoost Model","202503101","F1 score: 0.78, CI[0.71, 0.84]","Computational Method",,
287,"287.18704","Pseudomonas aeruginosa PA_65","amikacin","Susceptible",,,,,,,,,,,"SIR XGBoost Model","202503101","F1 score: 0.78, CI[0.71, 0.84]","Computational Method",,
287,"287.18704","Pseudomonas aeruginosa PA_65","tobramycin",,"2.0",,"2.0","mg/L",,,,,,,"MIC XGBoost Model","202503101","W1 score: 0.72, CI[0.66, 0.77]","Computational Method",,
287,"287.7665","Pseudomonas aeruginosa strain PA-81","colistin",,"1.0",,"1.0","mg/L",,,,,,,"MIC XGBoost Model","202503101","W1 score: 0.91, CI[0.86, 0.97]","Computational Method",,
287,"287.16608","Pseudomonas aeruginosa strain MB663","levofloxacin","Susceptible",,,,,,,,,,,"SIR XGBoost Model","202503101","F1 score: 0.91, CI[0.88, 0.94]","Computational Method",,
287,"287.7665","Pseudomonas aeruginosa strain PA-81","piperacillin/tazobactam","Resistant",,,,,,,,,,,"SIR XGBoost Model","202503101","F1 score: 0.82, CI[0.68, 0.97]","Computational Method",,
287,"287.16609","Pseudomonas aeruginosa strain MB664","meropenem",,"1.0",,"1.0","mg/L",,,,,,,"MIC XGBoost Model","202503101","W1 score: 0.41, CI[0.37, 0.46]","Computational Method",,
287,"287.16608","Pseudomonas aeruginosa strain MB663","aztreonam","Susceptible",,,,,,,,,,,"SIR XGBoost Model","202503101","F1 score: 0.63, CI[0.52, 0.73]","Computational Method",,
287,"287.18701","Pseudomonas aeruginosa PA_152","amikacin",,"4.0",,"4.0","mg/L",,,,,,,"MIC XGBoost Model","202503101","W1 score: 0.70, CI[0.62, 0.77]","Computational Method",,
287,"287.28403","Pseudomonas aeruginosa PaLo375","amikacin","Resistant",,,,,,,,,,,"SIR XGBoost Model","202503101","F1 score: 0.78, CI[0.71, 0.84]","Computational Method",,
287,"287.7665","Pseudomonas aeruginosa strain PA-81","ceftazidime/avibactam","Resistant",,,,,,,,,,,"SIR XGBoost Model","202503101","F1 score: 0.81, CI[0.73, 0.88]","Computational Method",,
287,"287.16609","Pseudomonas aeruginosa strain MB664","tobramycin","Susceptible",,,,,,,,,,,"SIR XGBoost Model","202503101","F1 score: 0.92, CI[0.89, 0.96]","Computational Method",,
287,"287.16610","Pseudomonas aeruginosa strain MB635","ceftazidime",,"4.0",,"4.0","mg/L",,,,,,,"MIC XGBoost Model","202503101","W1 score: 0.50, CI[0.39, 0.62]","Computational Method",,
287,"287.14026","Pseudomonas aeruginosa strain PA_88","tobramycin",,"8.0",,"8.0","mg/L",,,,,,,"MIC XGBoost Model","202503101","W1 score: 0.72, CI[0.66, 0.77]","Computational Method",,
287,"287.14026","Pseudomonas aeruginosa strain PA_88","ceftazidime","Resistant",,,,,,,,,,,"SIR XGBoost Model","202503101","F1 score: 0.75, CI[0.70, 0.81]","Computational Method",,
287,"287.16609","Pseudomonas aeruginosa strain MB664","meropenem","Susceptible",,,,,,,,,,,"SIR XGBoost Model","202503101","F1 score: 0.70, CI[0.63, 0.77]","Computational Method",,
287,"287.18701","Pseudomonas aeruginosa PA_152","amikacin","Susceptible",,,,,,,,,,,"SIR XGBoost Model","202503101","F1 score: 0.78, CI[0.71, 0.84]","Computational Method",,
