Evidence,Property,Source,Genome ID,Genome Name,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Source ID,Source Organism,Gene,Product,Function,Classification,Antibiotics Class,Antibiotics,PubMed,Subject Coverage,Query Coverage,Identity,E-value
"RGI: protein homolog model","Antibiotic Resistance","CARD","287.2580","Pseudomonas aeruginosa strain IOMTU 133","fig|287.2580.peg.2512","IOMTU133_2506",,"63",,"aac(6')-Ib","Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib/AAC(6')-II","AAC(6')-Ib","antibiotic inactivation","aminoglycoside","amikacin;kanamycin A;tobramycin",,93,100,100,"2.71354e-129"
"BLAT","Virulance factor","VFDB","287.2580","Pseudomonas aeruginosa strain IOMTU 133","fig|287.2580.peg.4530","IOMTU133_4495",,"VFG014369","Pseudomonas aeruginosa PAO1","fleS","Flagellar sensor histidine kinase FleS",,"Motility",,,,100,100,100,"1e-227"
"BLAT","Virulance factor","VFDB","287.2580","Pseudomonas aeruginosa strain IOMTU 133","fig|287.2580.peg.5401","IOMTU133_5352",,"VFG001216","Pseudomonas aeruginosa PAO1","fimU","type 4 fimbrial biogenesis protein FimU",,"Adherence",,,,100,100,99,"4e-88"
"BLAT","Virulance factor","VFDB","287.2580","Pseudomonas aeruginosa strain IOMTU 133","fig|287.2580.peg.575","IOMTU133_0559",,"VFG001227","Pseudomonas aeruginosa PAO1","pilI","type IV pili signal transduction protein PilI",,"Adherence",,,,100,100,100,"1e-101"
"BLAT","Transporter","TCDB","287.2580","Pseudomonas aeruginosa strain IOMTU 133","fig|287.2580.peg.1256","IOMTU133_1242",,"Q9HX93","Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228)",,"Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)","the p-type atpase (p-atpase) superfamily.","3.A.3.5.34",,,,100,100,99,"0.0"
"BLAT","Virulence Factor","VFDB","287.2580","Pseudomonas aeruginosa strain IOMTU 133","fig|287.2580.peg.153","IOMTU133_0145",,"VFG002064","Pseudomonas aeruginosa PAO1","impK","T6SS outer membrane component TssL (ImpK/VasF) / OmpA/MotB domain",,"Secretion system;Type VI secretion system",,,,100,100,100,"1e-263"
"BLAT","Drug Target","DrugBank","287.2580","Pseudomonas aeruginosa strain IOMTU 133","fig|287.2580.peg.1663","IOMTU133_1652",,"P11759","Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228)",,"GDP-mannose 6-dehydrogenase (EC 1.1.1.132)","'Sucrose;Guanosine 5'-(Trihydrogen Diphosphate), P'-D-Mannopyranosyl Ester'","Drug target",,,,100,100,100,"1e-254"
"BLAT","Virulence Factor","VFDB","287.2580","Pseudomonas aeruginosa strain IOMTU 133","fig|287.2580.peg.899","IOMTU133_0886",,"VFG000169","Pseudomonas aeruginosa PAO1",,"Pyochelin biosynthetic protein PchC, predicted thioesterase @ Thioesterase in siderophore biosynthesis gene cluster",,"Iron uptake;Siderophore",,,,100,100,99,"1e-141"
"BLAT","Virulence Factor","Victors","287.2580","Pseudomonas aeruginosa strain IOMTU 133","fig|287.2580.peg.4153","IOMTU133_4126",,"116049394","Pseudomonas aeruginosa UCBPP-PA14","flhB","Flagellar biosynthesis protein FlhB",,,,,"18591226",100,100,100,"1e-212"
"BLAT","Virulence Factor","VFDB","287.2580","Pseudomonas aeruginosa strain IOMTU 133","fig|287.2580.peg.580","IOMTU133_0564",,"VFG001233","Pseudomonas aeruginosa PAO1",,"probable chemotaxis protein",,"Adherence;Twitching motility",,,,100,100,98,"2e-87"
