Assembly Name,Assembly Accession,Assembly Paired Assembly Accession,Organism Name,Organism Infraspecific Names Strain,Annotation Name,Assembly Level,Assembly Release Date,WGS project accession,Assembly Stats Number of Scaffolds,Assembly BioSample Accession,Collection Date
16ShHly_IVRI,GCA_041501545.1,GCF_041501545.1,Pseudomonas aeruginosa,33008169,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),Chromosome,26-08-2024,,1,SAMN33008169,18-07-2018
ASM5144808v1,GCA_051448085.1,GCF_051448085.1,Pseudomonas aeruginosa,OI288,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),Contig,21-07-2025,JBPAGM01,5,SAMN48730456,19-02-2024
ASM5145010v1,GCA_051450105.1,GCF_051450105.1,Pseudomonas aeruginosa,OI238,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),Contig,21-07-2025,JBPAHW01,2,SAMN48730406,06-02-2024
ASM5145332v1,GCA_051453325.1,GCF_051453325.1,Pseudomonas aeruginosa,OI06,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),Contig,21-07-2025,JBPANY01,2,SAMN48730174,25-01-2023
ASM5145252v1,GCA_051452525.1,GCF_051452525.1,Pseudomonas aeruginosa,OI60,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),Contig,21-07-2025,JBPAMP01,3,SAMN48730228,14-11-2022
ASM5144802v1,GCA_051448025.1,GCF_051448025.1,Pseudomonas aeruginosa,OI291,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),Contig,21-07-2025,JBPAGJ01,6,SAMN48730459,19-02-2024
ASM5145322v1,GCA_051453225.1,GCF_051453225.1,Pseudomonas aeruginosa,OI18,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),Contig,21-07-2025,JBPANQ01,5,SAMN48730186,13-02-2023
ASM5145160v1,GCA_051451605.1,GCF_051451605.1,Pseudomonas aeruginosa,OI124,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),Contig,21-07-2025,JBPAKV01,2,SAMN48730292,08-08-2023
ASM5145214v1,GCA_051452145.1,GCF_051452145.1,Pseudomonas aeruginosa,OI86,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),Contig,21-07-2025,JBPALW01,4,SAMN48730254,17-04-2023
ASM5145146v1,GCA_051451465.1,GCF_051451465.1,Pseudomonas aeruginosa,OI138,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),Contig,21-07-2025,JBPAKO01,2,SAMN48730306,30-08-2023
