Isolate ID	Quality Module	Genotype	Predicted Phenotype	CGE Predicted Phenotype	Plasmid	Scheme	Sequence Type	Genome Length	N50 value	Number of Contigs Greater Than Or Equal To 300 bp	Quality Module Feedback
GCA_000399805.1_Pseudoaeru02_genomic	Failed	aph(3')-IIb, blaOXA-395, blaPAO, catB7, fosA, mph(A)	kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, fosfomycin, erythromycin, azithromycin	Unknown Aminoglycoside, Amoxicillin, Ampicillin, Meropenem, Cefepime, Ceftazidime, Chloramphenicol, Fosfomycin, Erythromycin, Azithromycin, Spiramycin, Telithromycin	None	paeruginosa	111	6474922	53240	186	Genome length is not within the acceptable length range [4000000,6000000]
GCA_000473745.3_ASM47374v3_genomic	Failed	aac(3)-Id, aac(6')-Iae, aadA1, aph(3'')-Ib, aph(3')-Ib, aph(3')-IIb, aph(3')-IIb, aph(3')-VIa, aph(6)-Id, blaOXA-488, blaPAO, blaTEM-1B, blaVIM-2, catB7, catB7, sul1, tet(G)	gentamicin, amikacin, tobramycin, streptomycin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, meropenem, chloramphenicol, sulfisoxazole, tetracycline	Gentamicin, Astromicin, Fortimicin, Tobramycin, Dibekacin, Amikacin, Sisomicin, Netilmicin, Spectinomycin, Streptomycin, Neomycin, Kanamycin, Lividomycin, Paromomycin, Ribostamycin, Butiromycin, Butirosin, Unknown Beta-lactam, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Cephalothin, Piperacillin, Ticarcillin, Amoxicillin+Clavulanic acid, Ampicillin+Clavulanic acid, Cefixime, Cefotaxime, Cefoxitin, Ertapenem, Imipenem, Meropenem, Piperacillin+Tazobactam, Chloramphenicol, Sulfamethoxazole, Doxycycline, Tetracycline	None	paeruginosa	-	6818030	6818030	1	Genome length is not within the acceptable length range [4000000,6000000]
GCA_000496325.1_MDRPA05_genomic	Failed	aac(6')-Ib-Hangzhou, aph(3'')-Ib, aph(3')-IIb, aph(6)-Id, blaGES-9, blaOXA-395, blaPAO, CmlA9, dfrA5, ere(A), FloR, fosA, rmtF, sul1, tet(G)	gentamicin, streptomycin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, meropenem, unknown[CmlA9_1_JN406319], trimethoprim, erythromycin, unknown[FloR_4_CP136914], fosfomycin, amikacin, sulfisoxazole, tetracycline	Amikacin, Tobramycin, Streptomycin, Kanamycin, Neomycin, Paromomycin, Ribostamycin, Butiromycin, Gentamicin, Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefoxitin, Cefotaxime, Ceftazidime, Aztreonam, Piperacillin, Ticarcillin, Meropenem, Cefepime, Chloramphenicol, Trimethoprim, Erythromycin, Florphenicol, Fosfomycin, Sulfamethoxazole, Doxycycline, Tetracycline	None	paeruginosa	1203	7050363	65494	170	Genome length is not within the acceptable length range [4000000,6000000]
GCA_000506805.1_P_aeruginosa_VRFPA07_genomic	Failed	aph(3')-IIb, blaOXA-488, blaPAO, crpP, fosA	kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, ciprofloxacin I/R, fosfomycin	Kanamycin, Neomycin, Paromomycin, Ribostamycin, Butiromycin, Gentamicin, Unknown Beta-lactam, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Ciprofloxacin, Fosfomycin	None	paeruginosa	313	7177216	84034	140	Genome length is not within the acceptable length range [4000000,6000000]
GCA_000506885.1_P_aeruginosa_VRFPA08_genomic	Failed	aac(3)-Id, aac(6')-Il, aph(3')-IIb, blaOXA-488, blaPAO, blaVIM-46, catB7, CmlA9, crpP, dfrB5, fosA, sul1, tet(G)	gentamicin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, meropenem, chloramphenicol, unknown[CmlA9_1_JN406319], ciprofloxacin I/R, trimethoprim, fosfomycin, sulfisoxazole, tetracycline	Gentamicin, Astromicin, Fortimicin, Amikacin, Tobramycin, Kanamycin, Neomycin, Paromomycin, Ribostamycin, Butiromycin, Unknown Beta-lactam, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Amoxicillin+Clavulanic acid, Ampicillin+Clavulanic acid, Cefixime, Cefotaxime, Cefoxitin, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Chloramphenicol, Ciprofloxacin, Trimethoprim, Fosfomycin, Sulfamethoxazole, Doxycycline, Tetracycline	None	paeruginosa	823	7035331	70821	197	Genome length is not within the acceptable length range [4000000,6000000]
GCA_000558345.1_MDR_VRFPA09_genomic	Failed	aac(6')-Il, aac(6')-Il, aac(6')-Il, ant(2'')-Ia, ant(3'')-Ia, aph(3')-IIb, blaOXA-10, blaOXA-50, blaPAO, blaVEB-1, catB7, crpP, dfrB2, fosA, sul1, sul1, tet(A)	gentamicin, streptomycin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, ciprofloxacin I/R, trimethoprim, fosfomycin, sulfisoxazole, tetracycline	Amikacin, Tobramycin, Gentamicin, Streptomycin, Unknown Aminoglycoside, Amoxicillin, Ampicillin, Aztreonam, Piperacillin, Piperacillin+Tazobactam, Cefepime, Ceftazidime, Amoxicillin+Clavulanic acid, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ticarcillin, Ticarcillin+Clavulanic acid, Chloramphenicol, Ciprofloxacin, Trimethoprim, Fosfomycin, Sulfamethoxazole, Doxycycline, Tetracycline	None	paeruginosa	4180	6711239	6165520	80	Genome length is not within the acceptable length range [4000000,6000000]
GCA_000567865.1_MDRPA06_genomic	Failed	aac(6')-Ib-Hangzhou, aac(6')-Ib-Hangzhou, aph(3')-IIb, blaOXA-4, blaOXA-50, blaPAO, catB7, CmlA9, fosA, sul1, sul1, tet(G)	gentamicin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, unknown[CmlA9_1_JN406319], fosfomycin, sulfisoxazole, tetracycline	Amikacin, Tobramycin, Unknown Aminoglycoside, Unknown Beta-lactam, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Chloramphenicol, Fosfomycin, Sulfamethoxazole, Doxycycline, Tetracycline	None	paeruginosa	664	6975032	49557	277	Genome length is not within the acceptable length range [4000000,6000000]
GCA_000760495.2_ASM76049v2_genomic	Failed	aph(3')-IIb, blaOXA-395, blaPAO, catB7, fosA, sul1	kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, fosfomycin, sulfisoxazole	Unknown Aminoglycoside, Amoxicillin, Ampicillin, Meropenem, Cefepime, Ceftazidime, Chloramphenicol, Fosfomycin, Sulfamethoxazole	None	paeruginosa	316	6411710	111311	72	Genome length is not within the acceptable length range [4000000,6000000]
GCA_000760505.2_ASM76050v2_genomic	Failed	aac(6')-Ib3, aadA2, aph(3')-IIb, blaCARB-2, blaOXA-494, blaPAO, catB7, CmlA9, fosA, tet(G), tmexC3, tmexD3, TOprJ3	amikacin, tobramycin, streptomycin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, unknown[CmlA9_1_JN406319], fosfomycin, tetracycline, unknown[tmexC3_1_LC633285], unknown[tmexD3_1_LC633285], unknown[TOprJ3_1_LC633285]	Amikacin, Tobramycin, Spectinomycin, Streptomycin, Unknown Aminoglycoside, Ampicillin, Amoxicillin, Piperacillin, Unknown Beta-lactam, Cefepime, Ceftazidime, Chloramphenicol, Fosfomycin, Doxycycline, Tetracycline, Minocycline, Tigecycline	None	paeruginosa	-	6311746	114862	110	Genome length is not within the acceptable length range [4000000,6000000]
GCA_000789975.1_AZPAE14910_genomic	Failed	aph(3')-IIb, blaOXA-488, blaPAO, catB7, fosA	kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, fosfomycin	Unknown Aminoglycoside, Unknown Beta-lactam, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Chloramphenicol, Fosfomycin	None	paeruginosa	241	6253654	407277	62	Genome length is not within the acceptable length range [4000000,6000000]
