Evidence,Property,Source,Genome ID,Genome Name,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Source ID,Source Organism,Gene,Product,Function,Classification,Antibiotics Class,Antibiotics,PubMed,Subject Coverage,Query Coverage,Identity,E-value
"BLAT","Virulance factor","VFDB","287.9072","Pseudomonas aeruginosa strain DMC-27b","fig|287.9072.peg.327","ERJ99_020535",,"VFG001212","Pseudomonas aeruginosa PAO1","pilE","Type IV pilus biogenesis protein PilE",,"Adherence",,,,47,100,100,"7e-33"
"BLAT","Drug Target","DrugBank","287.31156","Pseudomonas aeruginosa BDMZA1","fig|287.31156.peg.1716","OQ293_22110",,"Q9HYX1","Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228)",,"hypothetical protein","Coenzyme A","Drug target",,,,100,100,100,"1e-109"
"RGI: protein homolog model","Antibiotic Resistance","CARD","287.33560","Pseudomonas aeruginosa SHNIBPS206","fig|287.33560.peg.2910","RBB72_14110",,"2734",,"pmpM","Multi antimicrobial extrusion protein (Na(+)/drug antiporter), MATE family of MDR efflux pumps","PmpM","antibiotic efflux","fluoroquinolone; aminoglycoside; disinfecting agents and antiseptics","neomycin;benzalkonium chloride;chlorhexidine",,68,98,99,"0"
"BLAT","Transporter","TCDB","287.33560","Pseudomonas aeruginosa SHNIBPS206","fig|287.33560.peg.6101","RBB72_29630",,"Q9I2M1","Pseudomonas aeruginosa",,"Type I secretion system ATPase, LssB family LapB",,"3.A.1.109.4",,,,8,100,100,"2e-27"
"BLAT","Transporter","TCDB","287.33560","Pseudomonas aeruginosa SHNIBPS206","fig|287.33560.peg.6412","RBB72_31145",,"Q9HY88","Pseudomonas aeruginosa","opmE","Multidrug efflux system, outer membrane factor lipoprotein => OpmE of MexPQ-OpmE system",,"2.A.6.2.34",,,,53,96,99,"1e-144"
"BLAT","Virulence Factor","Victors","287.40602","Pseudomonas aeruginosa PA-CU-3","fig|287.40602.peg.2174","ACFX5A_17470",,"15595356","Pseudomonas aeruginosa PAO1","PA0158","Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => TriC of TriABC-OpmH system",,"",,,"12023080",100,100,99,"0.0"
"BLAT","Virulence Factor","Victors","287.25246","Pseudomonas aeruginosa DMC30b","fig|287.25246.peg.1501",,,"116052217","Pseudomonas aeruginosa UCBPP-PA14","prpL","Lysyl endopeptidase (EC 3.4.21.50)",,"",,,"11500408",9,100,97,"5e-16"
"K-mer Search","Antibiotic Resistance","PATRIC","287.33560","Pseudomonas aeruginosa SHNIBPS206","fig|287.33560.peg.4603","RBB72_22325",,,,"gidB","16S rRNA (guanine(527)-N(7))-methyltransferase (EC 2.1.1.170)","16S rRNA (guanine(527)-N(7))-methyltransferase (EC 2.1.1.170)","gene conferring resistance via absence","Aminoglycosides","streptomycin","17238915",,,,
"BLAT","Virulence Factor","VFDB","287.40602","Pseudomonas aeruginosa PA-CU-3","fig|287.40602.peg.2599","ACFX5A_18590",,"VFG000170","Pseudomonas aeruginosa PAO1","pchB","Isochorismate pyruvate-lyase (EC 4.2.99.21) [pyochelin] siderophore @ Isochorismate pyruvate-lyase (EC 4.2.99.21) of siderophore biosynthesis",,"Iron uptake,Siderophore",,,,100,100,99,"9e-52"
"BLAT","Virulence Factor","VFDB","287.9072","Pseudomonas aeruginosa strain DMC-27b","fig|287.9072.peg.4381","ERJ99_010365",,"VFG001254","Pseudomonas aeruginosa PAO1","fliI","Flagellum-specific ATP synthase FliI",,"Adherence,Motility",,,,100,100,100,"1e-257"
"BLAT","Transporter","TCDB","287.14718","Pseudomonas aeruginosa strain DMC-20C","fig|287.14718.peg.42","KB219_21795",,"Q51528","Pseudomonas aeruginosa",,"Type IV fimbrial biogenesis protein FimT","the outer membrane protein secreting main terminal branch (mtb) family.","3.A.15.2.1",,,"10984043;1676385;1898929;1971619;2997119;7565109;7854122;7854130;8057924;8330261;8340405;8682785;8845350;9224881;9668097",100,100,98,"5e-93"
"BLAT","Drug Target","DrugBank","287.33560","Pseudomonas aeruginosa SHNIBPS206","fig|287.33560.peg.8","RBB72_00040",,"P0C002","Escherichia coli","sulI","Dihydropteroate synthase type-2 (EC 2.5.1.15) @ Sulfonamide resistance protein","Sulfacetamide","Drug target",,,,100,100,100,"1e-156"
"BLAT","Virulance factor","VFDB","287.25246","Pseudomonas aeruginosa DMC30b","fig|287.25246.peg.1842",,,"VFG001231","Pseudomonas aeruginosa PAO1",,"still frameshift probable component of chemotactic signal transduction system",,"Adherence",,,,24,85,99,"0.0"
"BLAT","Transporter","TCDB","287.31156","Pseudomonas aeruginosa BDMZA1","fig|287.31156.peg.3633","OQ293_04480",,"Q9I0P8","Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228)",,"Uncharacterized MFS-type transporter","the major facilitator superfamily (mfs).","2.A.1.11.8",,,,100,100,99,"1e-233"
"BLAT","Virulance factor","VFDB","287.31156","Pseudomonas aeruginosa BDMZA1","fig|287.31156.peg.5238","OQ293_08465",,"VFG001236","Pseudomonas aeruginosa PAO1","flgC","Flagellar basal-body rod protein FlgC",,"Motility",,,,100,100,100,"2e-76"
"BLAT","Virulance factor","VFDB","287.31156","Pseudomonas aeruginosa BDMZA1","fig|287.31156.peg.2771","OQ293_24090",,"VFG014733","Pseudomonas aeruginosa PAO1","motY","Putative outer membrane protein",,"Motility",,,,100,100,99,"1e-183"
"BLAT","Virulence Factor","Victors","287.40602","Pseudomonas aeruginosa PA-CU-3","fig|287.40602.peg.5829","ACFX5A_29015",,"15596445","Pseudomonas aeruginosa PAO1","aprF","Type I secretion outer membrane protein, TolC family @ ABC-type protease exporter, outer membrane component PrtF/AprF",,"",,,"14641575",100,100,100,"1e-275"
"K-mer Search","Antibiotic Resistance","PATRIC","287.33560","Pseudomonas aeruginosa SHNIBPS206","fig|287.33560.peg.1407","RBB72_06895",,,,"APH(3')-II/APH(3')-XV","Aminoglycoside 3'-phosphotransferase (EC 2.7.1.95) => APH(3')-II/APH(3')-XV","Aminoglycoside 3'-phosphotransferase (EC 2.7.1.95) => APH(3')-II/APH(3')-XV","antibiotic inactivation enzyme","Aminoglycosides","neomycin;ribostamycin;butirosin;gentamicin B;paromomycin;kanamycin A","6295884;10984043;17088477",,,,
"BLAT","Virulence Factor","VFDB","287.14718","Pseudomonas aeruginosa strain DMC-20C","fig|287.14718.peg.4327","KB219_33975",,"VFG000165","Pseudomonas aeruginosa PAO1","pchF","Pyochelin synthetase PchF, non-ribosomal peptide synthetase module @ Siderophore biosynthesis non-ribosomal peptide synthetase modules",,"Iron uptake,Siderophore",,,,42,96,99,"0.0"
"BLAT","Antibiotic Resistance","CARD","287.40602","Pseudomonas aeruginosa PA-CU-3","fig|287.40602.peg.790","ACFX5A_11745",,"NP_252264.1","Pseudomonas aeruginosa PAO1","nalD","Transcriptional regulator, AcrR family",,"efflux pump conferring antibiotic resistance,gene modulating antibiotic efflux",,,,100,100,100,"1e-120"
"BLAT","Virulence Factor","Victors","287.13267","Pseudomonas aeruginosa strain SRS1","fig|287.13267.peg.128","IEG03_00630",,"116051700","Pseudomonas aeruginosa UCBPP-PA14 ","wspF","Chemotaxis response regulator protein-glutamate methylesterase CheB (EC 3.1.1.61)",,"",,,"18591226",100,100,100,"1e-189"
"BLAT","Transporter","TCDB","287.14718","Pseudomonas aeruginosa strain DMC-20C","fig|287.14718.peg.7228",,,"Q9I488","Pseudomonas aeruginosa strain ATCC 15692",,"4-hydroxyproline ABC transporter, ATP-binding protein",,"3.A.1.3.21",,,,91,88,99,"1e-121"
"BLAT","Virulance factor","VFDB","287.33560","Pseudomonas aeruginosa SHNIBPS206","fig|287.33560.peg.6073","RBB72_29490",,"VFG015524","Pseudomonas aeruginosa PAO1","phzA","Phenazine biosynthesis protein PhzA",,"Nutritional/Metabolic factor",,,,100,100,99,"2e-96"
"BLAT","Virulence Factor","Victors","287.40603","Pseudomonas aeruginosa PA-CU-2","fig|287.40603.peg.428","ACFX5B_11445",,"15600642","Pseudomonas aeruginosa PAO1","wbpX","Mannosyltransferase",,"",,,"14641575",100,100,99,"1e-275"
"BLAT","Antibiotic Resistance","CARD","287.40602","Pseudomonas aeruginosa PA-CU-3","fig|287.40602.peg.3993","ACFX5A_23500",,"NP_253661.1","Pseudomonas aeruginosa PAO1","OpmH","Outer membrane channel TolC (OpmH)",,"efflux pump conferring antibiotic resistance",,,,100,100,97,"1e-266"
"BLAT","Virulence Factor","VFDB","287.9072","Pseudomonas aeruginosa strain DMC-27b","fig|287.9072.peg.1362","ERJ99_005600",,"VFG001250","Pseudomonas aeruginosa PAO1","fliE","Flagellar hook-basal body complex protein FliE",,"Adherence,Motility",,,,100,100,100,"5e-53"
"BLAT","Transporter","TCDB","287.31156","Pseudomonas aeruginosa BDMZA1","fig|287.31156.peg.5232","OQ293_08440",,"P21627","Pseudomonas aeruginosa strain ATCC 15692","livH","Branched-chain amino acid ABC transporter, permease protein LivH (TC 3.A.1.4.1)",,"3.A.1.4.8",,,,100,100,100,"1e-169"
"BLAT","Transporter","TCDB","287.31156","Pseudomonas aeruginosa BDMZA1","fig|287.31156.peg.5123","OQ293_30820",,"Q9S6C3","Salmonella enterica subsp. enterica serovar Typhimurium str. DT104",,"Chloramphenicol/florfenicol resistance, MFS efflux pump => FloR family",,"2.A.1.2.110",,,,100,100,92,"1e-212"
"BLAT","Transporter","TCDB","287.31156","Pseudomonas aeruginosa BDMZA1","fig|287.31156.peg.3036","OQ293_25390",,"Q9I549","Pseudomonas aeruginosa strain ATCC 15692",,"Phage protein",,"1.E.43.1.5",,,,100,100,99,"6e-66"
"BLAT","Virulance factor","VFDB","287.31156","Pseudomonas aeruginosa BDMZA1","fig|287.31156.peg.5263","OQ293_08590",,"VFG001248","Pseudomonas aeruginosa PAO1","fleQ","Flagellar regulatory protein FleQ",,"Motility",,,,100,100,100,"1e-283"
"BLAT","Antibiotic Resistance","CARD","287.9072","Pseudomonas aeruginosa strain DMC-27b","fig|287.9072.peg.817","ERJ99_022420",,"NP_248848.1","Pseudomonas aeruginosa PAO1","TriC","Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => TriC of TriABC-OpmH system",,"efflux pump conferring antibiotic resistance",,,,100,100,99,"0.0"
