Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,State/Province,County,City,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Sex,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
"287.10629","Pseudomonas aeruginosa strain Pa-3",,287,"131567;2;3379134;1224;1236;72274;135621;286;136841;287","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas aeruginosa group;Pseudomonas aeruginosa","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas aeruginosa","WGS","Pa-3",,,,"MLST.paeruginosa.316",,,,,,,,,,,,,,,,"Good","2020-04-02T00:00:00Z",,,"PRJNA615643","SAMN14463699","GCA_011947185.1",,"JAATVZ000000000","Washington University in St. Louis","WGS","Illumina NextSeq","60.0x","SPAdes v. 3.11.0",,,125,7017375,65.98752,10,264748,60,2,,6851,94.09,91.38,2.2,99.11,,"tracheal aspirate","isolated from the human gut encodes resistance to all tetracyclines tested, including eravacycline and omadacycline","2016",2016,,"Pakistan",,,,"Asia","Pakistan",,"Human, Homo sapiens","Human","Male","45","cystic fibrosis","Human",,,,"collected_by:Atta ur Rahman School of Applied Biosciences, National University of Sciences and Technology, Islamabad, Pakistan","Tetracycline resistance by antibiotic inactivation was first identified in commensal organisms but has since been reported in environmental and pathogenic microbes. Here, we identify and characterize an expanded pool of tet(X)-like genes in environmental and human commensal metagenomes via inactivation by antibiotic selection of metagenomic libraries. These genes formed two distinct clades according to habitat of origin, and resistance phenotypes were similarly correlated. Each gene isolated from the human gut encodes resistance to all tetracyclines tested, including eravacycline and omadacycline. We report a biochemical and structural characterization of one enzyme, Tet(X7). Further, we identify Tet(X7) in a clinical Pseudomonas aeruginosa isolate and demonstrate its contribution to tetracycline resistance. Lastly, we show anhydrotetracycline and semi-synthetic analogues inhibit Tet(X7) to prevent enzymatic tetracycline degradation and increase tetracycline efficacy against strains expressing tet(X7). This work improves our understanding of tet(X)-mediated resistance and provides the foundation for an inhibition-based strategy for countering resistance.","2020-04-12T05:41:52.907Z","2020-04-12T05:41:52.907Z"
"287.14026","Pseudomonas aeruginosa strain PA_88",,287,"131567;2;3379134;1224;1236;72274;135621;286;136841;287","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas aeruginosa group;Pseudomonas aeruginosa","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas aeruginosa","WGS","PA_88","O3",,"XDR","MLST.paeruginosa.3472",,,,,,,,,,,,,,,,"Good","2021-01-27T00:00:00Z",,,"PRJNA669539","SAMN16454474","GCA_016762735.1",,"JADEYD000000000","National University of Science and Technology","WGS","Illumina NextSeq","22.0x","SPAdes v. FEB-2018",,,48,6310348,66.49423,5,371947,59,2,,5983,94.39,91.92,1.21,97.51,,"tracheal secretions","isolated from tracheal secretions of a patient with chronic airway colonization","2017-07",2017,,"Pakistan",,,,"Asia","Pakistan",,"Homo sapiens","Human","Male","76","lungs infection","Human",,,"host_description:male;host_disease_outcome:chronic lungs infection;host_disease_stage:critical","collected_by:Sidra Irum","We performed Illumina whole-genome sequencing on carbapenem resistant Pseudomonas aeruginosa strain isolated from tracheal secretions of a patient with chronic airway colonization. The draft genome comprises of 6,310,348 bp and 5797 CDS, including the metallo beta-lactamase blaVIM-2. The isolate harbors 3 prophage fragments, 18 antibiotic resistance associated genes, and 210 virulence genes.","2021-02-27T15:41:03.350Z","2021-02-27T15:41:03.350Z"
"287.16608","Pseudomonas aeruginosa strain MB663",,287,"131567;2;3379134;1224;1236;72274;135621;286;136841;287","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas aeruginosa group;Pseudomonas aeruginosa","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas aeruginosa","WGS","MB663",,,,"MLST.Pseudomonas_aeruginosa.274",,,,,,,,,,,,,,,,"Good","2021-09-20T00:00:00Z",,,"PRJNA640365","SAMN15314815","GCA_020072085.1",,"JABXOL000000000","university of cambridge","WGS","Illumina","76x","SPAdes v. 3.7",,,89,6327864,66.481155,7,327974,58,3,,5976,94.21,91.86,1.84,99.3,,"Soft tissues",,"2019-03-08",2019,,"Pakistan",,,,"Asia","Pakistan: Rawalpindi",,"Homo sapiens","Human",,,"Orthopedic implant infection","Human",,,,"collected_by:Sidra Abbas","This project involves mapping of Pseudomonas aeruginosa isolated from orthopedic implant infection","2021-09-29T19:03:45.227Z","2021-09-29T19:03:45.227Z"
"287.16609","Pseudomonas aeruginosa strain MB664",,287,"131567;2;3379134;1224;1236;72274;135621;286;136841;287","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas aeruginosa group;Pseudomonas aeruginosa","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas aeruginosa","WGS","MB664",,,,"MLST.Pseudomonas_aeruginosa.274",,,,,,,,,,,,,,,,"Good","2021-09-20T00:00:00Z",,,"PRJNA640365","SAMN15314816","GCA_020072145.1",,"JABXOK000000000","university of cambridge","WGS","Illumina","73x","SPAdes v. 3.7",,,116,6323646,66.48886,11,181738,58,3,,6008,94.21,91.86,1.98,99.3,,"Soft tissues",,"2019-03-08",2019,,"Pakistan",,,,"Asia","Pakistan: Rawalpindi",,"Homo sapiens","Human",,,"Orthopedic implant infection","Human",,,,"collected_by:Sidra Abbas","This project involves mapping of Pseudomonas aeruginosa isolated from orthopedic implant infection","2021-09-29T19:03:25.489Z","2021-09-29T19:03:25.489Z"
"287.16610","Pseudomonas aeruginosa strain MB635",,287,"131567;2;3379134;1224;1236;72274;135621;286;136841;287","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas aeruginosa group;Pseudomonas aeruginosa","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas aeruginosa","WGS","MB635",,,,"MLST.Pseudomonas_aeruginosa.244",,,,,,,,,,,,,,,,"Good","2021-09-20T00:00:00Z",,,"PRJNA640365","SAMN15314813","GCA_020072185.1",,"JABXON000000000","university of cambridge","WGS","Illumina","32x","SPAdes v. 3.7",,,133,6421269,66.39212,10,189397,61,4,,6158,94.33,91.98,2.29,99.34,,"Soft tissues",,"2018-03-24",2018,,"Pakistan",,,,"Asia","Pakistan: Islamabad",,"Homo sapiens","Human",,,"Orthopedic implant infection","Human",,,,"collected_by:Sidra Abbas","This project involves mapping of Pseudomonas aeruginosa isolated from orthopedic implant infection","2021-09-29T19:03:33.321Z","2021-09-29T19:03:33.321Z"
"287.16611","Pseudomonas aeruginosa strain MB638",,287,"131567;2;3379134;1224;1236;72274;135621;286;136841;287","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas aeruginosa group;Pseudomonas aeruginosa","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas aeruginosa","WGS","MB638",,,,"MLST.Pseudomonas_aeruginosa.244",,,,,,,,,,,,,,,,"Good","2021-09-20T00:00:00Z",,,"PRJNA640365","SAMN15314814","GCA_020072205.1",,"JABXOM000000000","university of cambridge","WGS","Illumina","150x","SPAdes v. 3.7",,,84,6348594,66.46736,6,387720,61,5,,6029,94.33,91.98,2.02,99.34,,"Soft tissues",,"2018-03-24",2018,,"Pakistan",,,,"Asia","Pakistan: Islamabad",,"Homo sapiens","Human",,,"Orthopedic implant infection","Human",,,,"collected_by:Sidra Abbas","This project involves mapping of Pseudomonas aeruginosa isolated from orthopedic implant infection","2021-09-29T19:07:03.177Z","2021-09-29T19:07:03.177Z"
"287.16612","Pseudomonas aeruginosa strain MB633",,287,"131567;2;3379134;1224;1236;72274;135621;286;136841;287","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas aeruginosa group;Pseudomonas aeruginosa","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas aeruginosa","WGS","MB633",,,,"MLST.Pseudomonas_aeruginosa.244",,,,,,,,,,,,,,,,"Good","2021-09-20T00:00:00Z",,,"PRJNA640365","SAMN15314812","GCA_020072275.1",,"JABXOO000000000","university of cambridge","WGS","Illumina","39x","SPAdes v. 3.7",,,107,6424692,66.38225,8,246451,61,5,,6148,94.33,91.98,2.34,99.34,,"Soft tissues",,"2018-03-24",2018,,"Pakistan",,,,"Asia","Pakistan: Islamabad",,"Homo sapiens","Human",,,"Orthopedic implant infection","Human",,,,"collected_by:Sidra Abbas","This project involves mapping of Pseudomonas aeruginosa isolated from orthopedic implant infection","2021-09-29T19:03:35.286Z","2021-09-29T19:03:35.286Z"
"287.18700","Pseudomonas aeruginosa PA_141",,287,"131567;2;3379134;1224;1236;72274;135621;286;136841;287","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas aeruginosa group;Pseudomonas aeruginosa","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas aeruginosa","WGS","PA_141","O13",,,"MLST.paeruginosa.3491",,,,,,,,,,,,,,,,"Good","2022-01-11T00:00:00Z","34827324",,"PRJNA670459","SAMN16505637","GCA_021441525.1",,"JADDLY000000000",,"WGS","Illumina NextSeq","22x","SPAdes v. 3.14",,,102,6371361,66.49058,11,204338,57,3,,6037,94.45,91.56,2.25,97.09,,"sputum",,"2017",2017,,"Pakistan",,,,"Asia","Pakistan",,"Homo sapiens","Human","Male","35","Chest infection","Human",,,"host_disease_outcome:recovery","collected_by:Sidra Irum",,"2022-02-02T20:36:08.091Z","2022-02-02T20:36:08.091Z"
"287.18701","Pseudomonas aeruginosa PA_152",,287,"131567;2;3379134;1224;1236;72274;135621;286;136841;287","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas aeruginosa group;Pseudomonas aeruginosa","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas aeruginosa","WGS","PA_152","O4",,,,,,,,,,,,,,,,,,,"Good","2022-01-11T00:00:00Z","34827324",,"PRJNA670459","SAMN16505638","GCA_021441545.1",,"JADDLX000000000",,"WGS","Illumina NextSeq","22x","SPAdes v. 3.14",,,85,6427265,66.331955,11,208040,63,4,,6064,94.64,91.98,0.98,98.78,,"sputum",,"2017",2017,,"Pakistan",,,,"Asia","Pakistan",,"Homo sapiens","Human","Male","41","Chest infection","Human",,,"host_disease_outcome:Chronic","collected_by:Sidra Irum",,"2022-02-02T20:36:13.236Z","2022-02-02T20:36:13.236Z"
"287.18702","Pseudomonas aeruginosa PA_107",,287,"131567;2;3379134;1224;1236;72274;135621;286;136841;287","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas aeruginosa group;Pseudomonas aeruginosa","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas aeruginosa","WGS","PA_107","O1",,,"MLST.paeruginosa.3489",,,,,,,,,,,,,,,,"Good","2022-01-11T00:00:00Z","34827324",,"PRJNA670459","SAMN16505636","GCA_021441565.1",,"JADDLZ000000000",,"WGS","Illumina NextSeq","22x","SPAdes v. 3.14",,,58,6258573,66.51534,7,304964,57,3,,5890,94.27,91.8,0.93,99.11,,"Pus",,"2017",2017,,"Pakistan",,,,"Asia","Pakistan",,"Homo sapiens","Human","Male","53","Soft tissue infection","Human",,,"host_disease_outcome:recovery","collected_by:Sidra Irum",,"2022-02-02T20:36:15.387Z","2022-02-02T20:36:15.387Z"
