Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,State/Province,County,City,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Sex,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
"1315978.3","Pseudomonas aeruginosa VRFPA02",,1315978,"131567;2;3379134;1224;1236;72274;135621;286;136841;287;1315978","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas aeruginosa group;Pseudomonas aeruginosa;Pseudomonas aeruginosa VRFPA02","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas aeruginosa","WGS","VRFPA02",,,,"MLST.paeruginosa.111",,,,,,,,,,,,,,,,"Good","2013-05-16T00:00:00Z",,,"PRJNA196397","SAMN02472102","GCA_000399805.1",,"AQHM00000000","SANKARA NETHRALAYA, VISION RESEARCH FOUNDATION","WGS","IonTorrent","50x","MIRA v. 3.1",,,186,6474922,66,34,53240,58,5,,6496,97.9,92.7,6,98.6,,"blood sample from patient with septicaemia",,"2012",2012,,"India",,,,"Asia","India: Chennai",,"Human, Homo sapiens","Human",,,,"Human",,,,,"Multidrug resistant Pseudomonas aeruginosa strain VRFPA02 obtained from septicaemic patient.;many frameshifted proteins","2014-12-08T22:12:37.999Z","2015-03-16T03:17:09.594Z"
"1400868.3","Pseudomonas aeruginosa VRFPA04",,1400868,"131567;2;3379134;1224;1236;72274;135621;286;136841;287;1400868","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas aeruginosa group;Pseudomonas aeruginosa;Pseudomonas aeruginosa VRFPA04","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas aeruginosa","WGS","VRFPA04",,,,"MLST.paeruginosa.823",,,,,,,,,,,,," ",,,"Good","2013-09-30T00:00:00Z",,,"PRJNA219238","SAMN02472098","GCA_000473745.3",,"AWWZ00000000","VISION RESEARCH FOUNDATION, SANKARA NETHRALAYA.","WGS","IonTorrent","81.0x","MIRA v. 3.4.1.1",,,86,6998695,66.1,12,148547,58,16,,6654,99.4,98,1.2,100,,"Corneal button from patient with corneal keratitis",,"2013",2013,,"India",,,,"Asia","India: Chennai",,"Human, Homo sapiens","Human",,,"corneal keratitis","Human",,,,,"Multidrug resistant pseudomonas aeruginosa strain VRFPA04 Isolated from Human corneal button from India","2014-12-08T22:12:38.018Z","2015-03-16T03:17:09.594Z"
"1408193.3","Pseudomonas aeruginosa VRFPA05",,1408193,"131567;2;3379134;1224;1236;72274;135621;286;136841;287;1408193","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas aeruginosa group;Pseudomonas aeruginosa;Pseudomonas aeruginosa VRFPA05","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas aeruginosa","WGS","VRFPA05",,,,"MLST.paeruginosa.1203",,,,,,,,,,,,," ",,,"Good","2013-11-08T00:00:00Z",,,"PRJNA222642","SAMN02472101","GCA_000496325.1",,"AXZJ00000000","SANKARA NETHRALAYA, VISION RESEARCH FOUNDATION","WGS","IonTorrent","65x","MIRA v. 3.4.1.1",,,170,7050363,65.8,33,65494,66,18,,6802,98.8,93.6,4.7,99.7,,"Vitreous aspirate from patient diagnosed with endophthalmitis",,"2013",2013,,"India",,,,"Asia","India: Chennai",,"Human, Homo sapiens","Human",,,,"Human",,,,,"Multidrug resistant Pseudomonas aeruginosa strain VRFPA05 isolated from Human-Vitreous aspirate (Intra-ocular) specimen;many frameshifted proteins","2014-12-08T22:12:38.027Z","2015-03-16T03:17:09.594Z"
"1423141.3","Pseudomonas aeruginosa VRFPA06",,1423141,"131567;2;3379134;1224;1236;72274;135621;286;136841;287;1423141","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas aeruginosa group;Pseudomonas aeruginosa;Pseudomonas aeruginosa VRFPA06","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas aeruginosa","WGS","VRFPA06",,,,"MLST.paeruginosa.664",,,,,,,,,,,,," ",,,"Good","2013-12-11T00:00:00Z","24604649",,"PRJNA227489","SAMN02472100","GCA_000567865.1",,"AYSK00000000","'SANKARA NETHRALAYA, VISION RESEARCH FOUNDATION'","WGS","IonTorrent","100.0x","MIRA v. 3.4.1.1",,,276,6971579,65.8,41,49557,65,15,,6610,99.3,98.1,2.1,99.4,,"Blood from septicemic patient","isolated from Human blood","2012",2012,,"India",,,,"Asia","India: Chennai",,"Human, Homo sapiens","Human",,,,"Human",,,,,"Multidrug resistant Pseudomonas aeruginosa strain VRFPA06 isolated from Human blood.;many frameshifted proteins","2014-12-08T22:12:38.035Z","2015-03-16T03:17:09.594Z"
"1431713.3","Pseudomonas aeruginosa VRFPA07",,1431713,"131567;2;3379134;1224;1236;72274;135621;286;136841;287;1431713","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas aeruginosa group;Pseudomonas aeruginosa;Pseudomonas aeruginosa VRFPA07","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas aeruginosa","WGS","VRFPA07",,,,"MLST.paeruginosa.313",,,,,,,,,,,,," ",,,"Good","2013-12-11T00:00:00Z",,,"PRJNA230365","SAMN02472099","GCA_000506805.1",,"AZBO00000000","SANKARA NETHRALAYA, VISION RESEARCH FOUNDATION","WGS","IonTorrent","80x","MIRA v. 3.4.1.1",,,140,7177216,65.9,23,84034,57,11,,6848,99.5,97.6,2.1,99.7,,"Rectal swab",,"2013",2013,,"India",,,,"Asia","India: Chennai",,"Human, Homo sapiens","Human",,,,"Human",,,,,"P aeruginosa isolated from rectal swab specimenIts moderately drug resistant strain, but sensitive for III generation Cephalosporins and Carbapenem group of drugs","2014-12-08T22:12:38.044Z","2015-03-16T03:17:09.594Z"
"1434267.3","Pseudomonas aeruginosa VRFPA08",,1434267,"131567;2;3379134;1224;1236;72274;135621;286;136841;287;1434267","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas aeruginosa group;Pseudomonas aeruginosa;Pseudomonas aeruginosa VRFPA08","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas aeruginosa","WGS","VRFPA08",,,,"MLST.paeruginosa.823",,,,,,,,,,,,," ",,,"Good","2013-12-11T00:00:00Z",,,"PRJNA230869","SAMN02472103","GCA_000506885.1",,"AZHU00000000","SANKARA NETHRALAYA, VISION RESEARCH FOUNDATION","WGS","IonTorrent","70x","Mira v. 3.4.1.1",,,197,7035331,66.1,32,70821,65,14,,6666,98.9,97.1,0.6,100,,"urine from a patient wiht a urinary tract infection",,"2013",2013,,"India",,,,"Asia","India: Chennai",,"Human, Homo sapiens","Human",,,,"Human",,,,,"P aeruginosa strain VRFPA08 isolated from Urine specimen obtained from L &amp; T Microbiology Research Centre","2014-12-08T22:12:38.052Z","2015-03-16T03:17:09.594Z"
"1441931.3","Pseudomonas aeruginosa VRFPA09",,1441931,"131567;2;3379134;1224;1236;72274;135621;286;136841;287;1441931","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas aeruginosa group;Pseudomonas aeruginosa;Pseudomonas aeruginosa VRFPA09","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas aeruginosa","WGS","VRFPA09",,,,,,,,,,,,,,,,," ",,,"Good","2014-02-05T00:00:00Z",,,"PRJNA232744","SAMN02952969","GCA_000558345.1",,"JAAO00000000","'SANKARA NETHRALAYA, VISION RESEARCH FOUNDATION'","WGS","IonTorrent","75x","MIRA v. 3.4.1.1; CLC GENOMICS WORKBENCH v.",,,80,6711239,65.3,1,6165520,57,16,,6726,96.8,89.7,6.4,94.8,,"blood sample from patient with septicaemia",,"2013",2013,,"India",,,,"Asia","India: Chennai",,"Human, Homo sapiens","Human",,,,"Human",,,,,"MDR P aeruginosa strain VRFPA09 isolated from Human blood;many frameshifted proteins","2014-12-08T22:12:38.060Z","2015-03-16T03:17:09.594Z"
"287.1022","Pseudomonas aeruginosa AZPAE14911",,287,"131567;2;3379134;1224;1236;72274;135621;286;136841;287","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas aeruginosa group;Pseudomonas aeruginosa","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas aeruginosa","WGS","AZPAE14911","O11_O17",,,"MLST.paeruginosa.532",,,,,,,,,,,,"oprd type:Type I",,,,"Good","2014-12-04T00:00:00Z","25367914",,"PRJNA264310","SAMN03105609","GCA_000793985.1",,"JTSE00000000","AstraZeneca","WGS","Illumina MiSeq","10x","CLC Bio v. 6.0",,,99,6808509,65.93,12,180011,59,4,,6355,99.6,98.9,,100,,"itra-abdominal tract infection",,"2008",2008,,"India",,,,"Asia","India: Mumbai",,"Human, Homo sapiens","Human",,,"IAI","Human",,,,"full length oprd:yes","Genome sequencing of recent Pseudomonas aeruginosa clinical isolate from a diverse geographic area;The resistome of Pseudomonas aeruginosa in relationship to phenotypic susceptibility","2015-03-12T13:49:34.658Z","2015-03-16T03:17:09.594Z"
"287.1023","Pseudomonas aeruginosa AZPAE14910",,287,"131567;2;3379134;1224;1236;72274;135621;286;136841;287","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas aeruginosa group;Pseudomonas aeruginosa","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas aeruginosa","WGS","AZPAE14910","O6",,,"MLST.Pseudomonas_aeruginosa.241",,,,,,,,,,,,"oprd type:Type II",,,,"Good","2014-12-04T00:00:00Z","25367914",,"PRJNA264310","SAMN03105608","GCA_000789975.1",,"JTSF00000000","AstraZeneca","WGS","Illumina MiSeq","10x","CLC Bio v. 6.0",,,62,6253654,66.5,6,407277,55,4,,5816,99.5,99.3,,100,,"itra-abdominal tract infection",,"2008",2008,,"India",,,,"Asia","India: Mumbai",,"Human, Homo sapiens","Human",,,"IAI","Human",,,,"full length oprd:yes","Genome sequencing of recent Pseudomonas aeruginosa clinical isolate from a diverse geographic area;The resistome of Pseudomonas aeruginosa in relationship to phenotypic susceptibility","2015-03-12T13:49:35.411Z","2015-03-16T03:17:09.594Z"
"287.10277","Pseudomonas aeruginosa strain PA219",,287,"131567;2;3379134;1224;1236;72274;135621;286;136841;287","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas aeruginosa group;Pseudomonas aeruginosa","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas aeruginosa","WGS","PA219",,,,"MLST.paeruginosa.308",,,,,,,,,,,,,,,,"Good","2019-12-03T00:00:00Z",,,"PRJNA590804","SAMN13340393","GCA_009727125.1",,"WOAF00000000","The University of New South Wales","WGS","Illumina MiSeq","46x","SPAdes v. 3.13",,,163,7456853,65.86652,12,186269,61,4,,7382,94.21,91.26,4.14,99.44,,"eye",,"2018",2018,,"India",,,,"Asia","India",,"Human, Homo sapiens","Human",,,"Non-contact lens related keratitis","Human",,,,"collected_by:LV Prasad Eye Institute","This study includes Pseudomonas aeruginosa isolates related to contact lens and non-contact lens keratitis.","2019-12-31T16:00:39.863Z","2019-12-31T16:00:39.863Z"
